"id","name","rating","year.built","park","make","ride"
"89","Nemesis Inferno","Extreme",2003,"Thorpe Park","Bolliger & Mabillard","rollercoaster"
"90","Nickelodeon Streak","Family",1935,"Blackpool Pleasure Beach","Great Coasters International","rollercoaster"
"91","Oblivion","Extreme",1998,"Alton Towers","Bolliger & Mabillard","rollercoaster"
"92","Ocean Coaster","Family",2008,"Harbour Park","D.P.V. Rides","rollercoaster"
"93","Octonauts Rollercoaster Adventure","Family",2015,"Alton Towers","Zamperla","rollercoaster"
"94","Odyssey","Extreme",2002,"Fantasy Island","Vekoma","rollercoaster"
"95","Pinball X","Thrill",2018,"Dreamland","Zamperla","rollercoaster"
"96","Python","Family",2003,"Gulliver's Milton Keynes","Pinfari","rollercoaster"
"97","Queen Bee","Family",2002,"Botton's Pleasure Beach","Pinfari","rollercoaster"
"98","Rage","Extreme",2007,"Adventure Island","Gerstlauer","rollercoaster"
"99","Rampage","Family",2016,"Big Sheep","Zierer","rollercoaster"
"100","Raptor Attack","Thrill",1987,"Lightwater Valley","Schwarzkopf","rollercoaster"
"101","Rattlesnake","Thrill",1998,"Chessington World of Adventures","Maurer Rides GmbH","rollercoaster"
"102","Rattle Snake","Family",2002,"Knowsley Safari Park","D.P.V. Rides","rollercoaster"
"103","Revolution","Extreme",1979,"Blackpool Pleasure Beach","Arrow Dynamics","rollercoaster"
"104","Rhino Coaster","Family",1992,"West Midland Safari Park","Vekoma","rollercoaster"
"105","Rhombus's Rocket","Family",1995,"Fantasy Island","WGH Transportation","rollercoaster"
"106","Rita","Extreme",2005,"Alton Towers","Intamin","rollercoaster"
"107","Rockin Roller","Thrill",2006,"Botton's Pleasure Beach","Fabbri","rollercoaster"
"108","Roller Coaster","Thrill",1932,"Great Yarmouth Pleasure Beach","Great Coasters International","rollercoaster"
"109","Roller Coaster","Thrill",1932,"Wicksteed Park","Pinfari","rollercoaster"
"110","Roller Coaster","Family",2006,"Clifton Park Amusements","Top Fun","rollercoaster"
"111","Rum Runner","Family",2018,"Twinlakes Park","SBF Visa Group","rollercoaster"
